Season,Game,Team,Goals,Shots,On Goal,Corners,Fouls,Yellow,Red,shooting %,XG,Team,Goals,Shots,On Goal,Corners,Fouls,Yellow,Red,shooting %,XG
2022_Winter,12/3 Plymouth Reign Green,1 DCFC South Oakland 10 Rouge,4,16,12,5,0,0,0,25.00%,5.11,Plymouth Reign,4,16,10,1,2,0,0,25.00%,4.03
2022_Winter,12/18 Mi Stars Lightning,DCFC Rouge,7,17,12,3,2,0,0,41.18%,6.25,Lightning,1,6,5,2,6,1,0,16.67%,0.44
2022_Winter,1/8 Royal Oak Green,DCFC Rouge,7,18,11,4,2,0,0,38.89%,1.46,Royal Oak,1,8,6,3,11,1,0,12.50%,1.37
2022_Winter,1/21 DCFC West,DCFC Rouge,4,23,14,7,1,0,0,17.39%,2.78,DCFC West,1,6,6,3,1,0,0,16.67%,1.84
2022_Winter,2/19 Wild Dogs W4-1,1 DCFC South Oakland 10 Rouge,4,14,11,2,3,1,0,28.57%,1.45,Wild Dogs,1,6,4,0,4,3,0,16.67%,1.04
2022_Winter,3/4 Star Revolution D1-1,1 DCFC South Oakland 10 Rouge,1,18,12,9,4,0,0,5.56%,2.37,Michigan Stars Revolution,1,18,10,2,5,0,0,5.56%,1.58
2022_Winter,3/5 Eastside D2-2,1 DCFC South Oakland 10 Rouge,2,12,5,6,3,0,0,16.67%,1.6,Eastside,2,7,7,5,7,0,0,28.57%,1.12
2022_Winter,3/11 Troy Ntls Red D0-0,1 DCFC South Oakland 10 Rouge,0,8,3,6,0,0,0,0.00%,2.57,Troy Nationals,0,12,9,2,2,0,0,0.00%,1.69
2022_Fall,TKO 8/21,DCFC,4,9,8,2,3,1,0,44.44%,0.23,TKO Premier SC,2,14,11,1,5,0,0,14.29%,0.94
2022_Fall_Reds,PASS FC 8/27 (Reds),DCFC,11,25,19,3,0,0,0,44.00%,4.66,PASS FC,0,1,0,0,2,0,0,0.00%,0.13
2022_Fall_Reds,Liverpool Mi Cent 8/27 (Reds),DCFC,2,17,12,7,4,1,0,11.76%,0.8,Liverpool FC IA Michigan Central,0,7,5,2,5,2,0,0.00%,4.08
2022_Fall_Reds,Sting 8/28 (Reds),DCFC,17,37,29,5,2,0,0,45.95%,7.01,DBSS Sting Blue,0,1,1,0,0,0,0,0.00%,0.97
2022_Fall_Reds,Union 8/28 (Reds),DCFC,5,38,29,7,2,0,0,13.16%,5.88,FC Union Black,0,2,1,0,3,0,0,0.00%,0.1
2022_Fall,Dearborn Jags 9/10 Redo,DCFC,5,17,11,2,5,0,0,29.41%,3.05,Dearborn Jaguars,1,12,9,4,6,0,0,8.33%,1.9
